no,ocean_proximity
206,near_bay
207,near_bay
208,near_bay
209,near_bay
210,near_bay
211,near_bay
212,near_bay
213,near_bay
214,near_bay
215,near_bay
216,near_bay
217,near_bay
218,near_bay
219,near_bay
220,near_bay
221,near_bay
222,near_bay
223,near_bay
224,near_bay
225,near_bay
226,near_bay
227,near_bay
228,near_bay
229,near_bay
230,near_bay
231,near_bay
232,near_bay
233,near_bay
234,near_bay
235,near_bay
236,near_bay
237,near_bay
238,near_bay
239,near_bay
240,near_bay
241,near_bay
242,near_bay
243,near_bay
244,near_bay
245,near_bay
246,near_bay
247,near_bay
248,near_bay
249,near_bay
250,near_bay
251,near_bay
252,near_bay
253,near_bay
254,near_bay
255,near_bay
256,near_bay
257,near_bay
258,near_bay
259,near_bay
260,near_bay
261,near_bay
262,near_bay
263,near_bay
264,near_bay
265,near_bay
266,near_bay
267,near_bay
268,near_bay
269,near_bay
270,near_bay
271,near_bay
272,near_bay
273,near_bay
274,near_bay
275,near_bay
276,near_bay
277,near_bay
278,near_bay
279,near_bay
280,near_bay
281,near_bay
282,near_bay
283,near_bay
284,near_bay
285,near_bay
286,near_bay
287,near_bay
288,near_bay
289,near_bay
290,near_bay
291,near_bay
292,near_bay
293,near_bay
294,near_bay
295,near_bay
296,near_bay
297,near_bay
298,near_bay
299,near_bay
300,near_bay
301,near_bay
302,near_bay
303,near_bay
304,near_bay
305,near_bay
306,near_bay
307,near_bay
308,near_bay
309,near_bay
310,near_bay
311,near_bay
312,near_bay
313,near_bay
314,near_bay
315,near_bay
316,near_bay
317,near_bay
318,near_bay
319,near_bay
320,near_bay
321,near_bay
322,near_bay
323,near_bay
324,near_bay
325,near_bay
326,near_bay
327,near_bay
328,near_bay
329,near_bay
330,near_bay
331,near_bay
332,near_bay
333,near_bay
334,near_bay
335,near_bay
336,near_bay
337,near_bay
338,near_bay
339,near_bay
340,near_bay
341,near_bay
342,near_bay
343,near_bay
344,near_bay
345,near_bay
346,near_bay
347,near_bay
348,near_bay
349,near_bay
350,near_bay
351,near_bay
352,near_bay
353,near_bay
354,near_bay
355,near_bay
356,near_bay
357,near_bay
358,near_bay
359,near_bay
360,near_bay
361,near_bay
362,near_bay
363,near_bay
364,near_bay
365,near_bay
366,near_bay
367,near_bay
368,near_bay
369,near_bay
370,near_bay
371,near_bay
372,near_bay
373,near_bay
374,near_bay
375,near_bay
376,near_bay
377,near_bay
378,near_bay
379,near_bay
380,near_bay
381,near_bay
382,near_bay
383,near_bay
384,near_bay
385,near_bay
386,near_bay
387,near_bay
388,near_bay
389,near_bay
390,near_bay
391,near_bay
392,near_bay
393,near_bay
394,near_bay
395,near_bay
396,near_bay
397,near_bay
398,near_bay
399,near_bay
400,near_bay
401,near_bay
402,near_bay
403,near_bay
404,near_bay
405,near_bay
406,near_bay
407,near_bay
408,near_bay
409,near_bay
410,near_bay
411,near_bay
412,near_bay
413,near_bay
414,near_bay
415,near_bay
416,near_bay
417,near_bay
418,near_bay
419,near_bay
420,near_bay
421,near_bay
422,near_bay
423,near_bay
424,near_bay
425,near_bay
426,near_bay
427,near_bay
428,near_bay
429,near_bay
430,near_bay
431,near_bay
432,near_bay
433,near_bay
434,near_bay
435,near_bay
436,near_bay
437,near_bay
438,near_bay
439,near_bay
440,near_bay
441,near_bay
442,near_bay
443,near_bay
444,near_bay
445,near_bay
446,near_bay
447,near_bay
448,near_bay
449,near_bay
450,near_bay
451,near_bay
452,near_bay
453,near_bay
454,near_bay
455,near_bay
456,near_bay
457,near_bay
458,near_bay
459,near_bay
460,near_bay
461,near_bay
462,near_bay
463,near_bay
464,near_bay
465,near_bay
466,near_bay
467,near_bay
468,near_bay
469,near_bay
470,near_bay
471,near_bay
472,near_bay
473,near_bay
474,near_bay
475,near_bay
476,near_bay
477,near_bay
478,near_bay
479,near_bay
480,near_bay
481,near_bay
482,near_bay
483,near_bay
484,near_bay
485,near_bay
486,near_bay
487,near_bay
488,near_bay
489,near_bay
490,near_bay
491,near_bay
492,near_bay
493,near_bay
494,near_bay
495,near_bay
496,near_bay
497,near_bay
498,near_bay
499,near_bay
500,near_bay
501,near_bay
502,near_bay
503,near_bay
504,near_bay
505,near_bay
506,near_bay
507,near_bay
508,near_bay
509,near_bay
510,near_bay
511,near_bay
512,near_bay
513,near_bay
514,near_bay
515,near_bay
516,near_bay
517,near_bay
518,near_bay
519,near_bay
520,near_bay
521,near_bay
522,near_bay
523,near_bay
524,near_bay
525,near_bay
526,near_bay
527,near_bay
528,near_bay
529,near_bay
530,near_bay
531,near_bay
532,near_bay
533,near_bay
534,near_bay
535,near_bay
536,near_bay
537,near_bay
538,near_bay
539,near_bay
540,near_bay
541,near_bay
542,near_bay
543,near_bay
544,near_bay
545,near_bay
546,near_bay
547,near_bay
548,near_bay
549,near_bay
550,near_bay
551,near_bay
552,near_bay
553,near_bay
554,near_bay
555,near_bay
556,near_bay
557,near_bay
558,near_bay
559,near_bay
560,near_bay
561,near_bay
562,near_bay
563,near_bay
564,near_bay
565,near_bay
566,near_bay
567,near_bay
568,near_bay
569,near_bay
570,near_bay
571,near_bay
572,near_bay
573,near_bay
574,near_bay
575,near_bay
576,near_bay
577,near_bay
578,near_bay
579,near_bay
580,near_bay
581,near_bay
582,near_bay
583,near_bay
584,near_bay
585,near_bay
586,near_bay
587,near_bay
588,near_bay
589,near_bay
590,near_bay
591,near_bay
592,near_bay
593,near_bay
594,near_bay
595,near_bay
596,near_bay
597,near_bay
598,near_bay
599,near_bay
600,near_bay
601,near_bay
602,near_bay
603,near_bay
604,near_bay
605,near_bay
606,near_bay
607,near_bay
608,near_bay
609,near_bay
610,near_bay
611,near_bay
612,near_bay
613,near_bay
614,near_bay
615,near_bay
616,near_bay
617,near_bay
618,near_bay
619,near_bay
620,near_bay
621,near_bay
622,near_bay
623,near_bay
624,near_bay
625,near_bay
626,near_bay
627,near_bay
628,near_bay
629,near_bay
630,near_bay
631,near_bay
632,near_bay
633,near_bay
634,near_bay
635,near_bay
636,near_bay
637,near_bay
638,near_bay
639,near_bay
640,near_bay
641,near_bay
642,near_bay
643,near_bay
644,near_bay
645,near_bay
646,near_bay
647,near_bay
648,near_bay
649,near_bay
650,near_bay
651,near_bay
652,near_bay
653,near_bay
654,near_bay
655,near_bay
656,near_bay
657,near_bay
658,near_bay
659,near_bay
660,near_bay
661,near_bay
662,near_bay
663,near_bay
664,near_bay
665,near_bay
666,near_bay
667,near_bay
668,near_bay
669,near_bay
670,near_bay
671,near_bay
672,near_bay
673,near_bay
674,near_bay
675,near_bay
676,near_bay
677,near_bay
678,near_bay
679,near_bay
680,near_bay
681,near_bay
682,near_bay
683,near_bay
684,near_bay
685,near_bay
686,near_bay
687,near_bay
688,near_bay
689,near_bay
690,near_bay
691,near_bay
692,near_bay
693,near_bay
694,near_bay
695,near_bay
696,near_bay
697,<1h_ocean
698,near_bay
699,near_bay
700,near_bay
701,near_bay
702,near_bay
703,near_bay
704,near_bay
705,near_bay
706,near_bay
707,near_bay
708,near_bay
709,near_bay
710,near_bay
711,near_bay
712,near_bay
713,near_bay
714,near_bay
715,near_bay
716,near_bay
717,near_bay
718,near_bay
719,near_bay
720,near_bay
721,near_bay
722,near_bay
723,near_bay
724,near_bay
725,near_bay
726,near_bay
727,near_bay
728,near_bay
729,near_bay
730,near_bay
731,near_bay
732,near_bay
733,near_bay
734,near_bay
735,near_bay
736,near_bay
737,near_bay
738,near_bay
739,near_bay
740,near_bay
741,near_bay
742,near_bay
743,near_bay
744,near_bay
745,near_bay
746,near_bay
747,near_bay
748,near_bay
749,near_bay
750,near_bay
751,near_bay
752,near_bay
753,near_bay
754,near_bay
755,near_bay
756,near_bay
757,near_bay
758,near_bay
759,near_bay
760,near_bay
761,near_bay
762,near_bay
763,near_bay
764,near_bay
765,near_bay
766,near_bay
767,near_bay
768,near_bay
769,near_bay
770,near_bay
771,near_bay
772,near_bay
773,near_bay
774,near_bay
775,near_bay
776,near_bay
777,near_bay
778,near_bay
779,near_bay
780,near_bay
781,near_bay
782,near_bay
783,near_bay
784,near_bay
785,near_bay
786,near_bay
787,near_bay
788,near_bay
789,near_bay
790,near_bay
791,near_bay
792,near_bay
793,near_bay
794,near_bay
795,near_bay
796,near_bay
797,near_bay
798,near_bay
799,near_bay
800,near_bay
801,near_bay
802,near_bay
803,near_bay
804,near_bay
805,near_bay
806,near_bay
807,near_bay
808,near_bay
809,near_bay
810,near_bay
811,near_bay
812,near_bay
813,near_bay
814,near_bay
815,near_bay
816,near_bay
817,near_bay
818,near_bay
819,near_bay
820,near_bay
821,near_bay
822,near_bay
823,near_bay
824,near_bay
825,<1h_ocean
826,near_bay
827,near_bay
828,near_bay
829,near_bay
830,near_bay
831,near_bay
832,near_bay
833,near_bay
834,near_bay
835,near_bay
836,near_bay
837,near_bay
838,near_bay
839,near_bay
840,near_bay
841,near_bay
842,near_bay
843,near_bay
844,near_bay
845,near_bay
846,near_bay
847,near_bay
848,near_bay
849,near_bay
850,near_bay
851,near_bay
852,near_bay
853,near_bay
854,<1h_ocean
855,<1h_ocean
856,<1h_ocean
857,<1h_ocean
858,<1h_ocean
859,near_bay
860,near_bay
861,near_bay
862,near_bay
863,near_bay
864,near_bay
865,<1h_ocean
866,near_bay
867,near_bay
868,near_bay
869,near_bay
870,near_bay
871,near_bay
872,near_bay
873,near_bay
874,near_bay
875,<1h_ocean
876,<1h_ocean
877,<1h_ocean
878,<1h_ocean
879,<1h_ocean
880,<1h_ocean
881,<1h_ocean
882,<1h_ocean
883,<1h_ocean
884,<1h_ocean
885,<1h_ocean
886,<1h_ocean
887,<1h_ocean
888,<1h_ocean
889,<1h_ocean
890,<1h_ocean
891,<1h_ocean
892,<1h_ocean
893,<1h_ocean
894,<1h_ocean
895,<1h_ocean
896,<1h_ocean
897,<1h_ocean
898,<1h_ocean
899,<1h_ocean
900,<1h_ocean
901,<1h_ocean
902,<1h_ocean
903,<1h_ocean
904,near_bay
905,<1h_ocean
906,near_bay
907,<1h_ocean
908,near_bay
909,<1h_ocean
910,<1h_ocean
911,<1h_ocean
912,<1h_ocean
913,<1h_ocean
914,<1h_ocean
915,<1h_ocean
916,<1h_ocean
917,<1h_ocean
918,<1h_ocean
919,<1h_ocean
920,<1h_ocean
921,<1h_ocean
922,<1h_ocean
923,near_bay
924,near_bay
925,near_bay
926,near_bay
927,near_bay
928,near_bay
929,near_bay
930,near_bay
931,near_bay
932,near_bay
933,near_bay
934,near_bay
935,near_bay
936,near_bay
937,near_bay
938,near_bay
939,near_bay
940,<1h_ocean
941,<1h_ocean
942,<1h_ocean
943,<1h_ocean
944,<1h_ocean
945,<1h_ocean
946,<1h_ocean
947,<1h_ocean
948,<1h_ocean
949,inland
950,<1h_ocean
951,<1h_ocean
952,inland
953,<1h_ocean
954,<1h_ocean
955,<1h_ocean
956,<1h_ocean
957,<1h_ocean
958,<1h_ocean
959,<1h_ocean
960,inland
961,<1h_ocean
962,inland
963,inland
964,inland
965,inland
966,<1h_ocean
967,<1h_ocean
968,inland
969,inland
970,inland
971,inland
972,inland
973,<1h_ocean
974,inland
975,inland
976,inland
977,inland
978,inland
979,inland
980,inland
981,inland
982,inland
983,inland
984,<1h_ocean
985,inland
986,inland
987,inland
988,inland
989,inland
990,inland
991,inland
992,inland
993,inland
994,inland
995,inland
996,inland
997,inland
998,inland
999,inland
1000,inland
1001,inland
1002,inland
1003,inland
1004,inland
1005,inland
1006,inland
1007,inland
1008,inland
1009,inland
1010,inland
1011,inland
1012,inland
1013,inland
1014,inland
1015,inland
1016,inland
1017,inland
1018,inland
1019,inland
1020,inland
1021,inland
1022,inland
1023,inland
1024,inland
1025,inland
1026,inland
1027,inland
1028,inland
1029,inland
1030,inland
1031,inland
1032,inland
1033,inland
1034,inland
1035,inland
1036,inland
1037,inland
1038,inland
1039,inland
1040,inland
1041,inland
1042,inland
1043,inland
1044,inland
1045,inland
1046,inland
1047,inland
1048,inland
1049,inland
1050,inland
1051,inland
1052,inland
1053,inland
1054,inland
1055,inland
1056,inland
1057,inland
1058,inland
1059,inland
1060,inland
1061,inland
1062,inland
1063,inland
1064,inland
1065,inland
1066,inland
1067,inland
1068,inland
1069,inland
1070,inland
1071,inland
1072,inland
1073,inland
1074,inland
1075,inland
1076,inland
1077,inland
1078,inland
1079,inland
1080,inland
1081,inland
1082,inland
1083,inland
1084,inland
1085,inland
1086,inland
1087,inland
1088,inland
1089,inland
1090,inland
1091,inland
1092,inland
1093,inland
1094,inland
1095,inland
1096,inland
1097,inland
1098,inland
1099,inland
1100,inland
1101,inland
1102,inland
1103,inland
1104,inland
1105,inland
1106,inland
1107,inland
1108,inland
1109,inland
1110,inland
1111,inland
1112,inland
1113,inland
1114,inland
1115,inland
1116,inland
1117,inland
1118,inland
1119,inland
1120,inland
1121,inland
1122,inland
1123,inland
1124,inland
1125,inland
1126,inland
1127,inland
1128,inland
1129,inland
1130,inland
1131,inland
1132,inland
1133,inland
1134,inland
1135,inland
1136,inland
1137,inland
1138,inland
1139,inland
1140,inland
1141,inland
1142,inland
1143,inland
1144,inland
1145,inland
1146,inland
1147,inland
1148,inland
1149,inland
1150,inland
1151,inland
1152,inland
1153,inland
1154,inland
1155,inland
1156,inland
1157,inland
1158,inland
1159,inland
1160,inland
1161,inland
1162,inland
1163,inland
1164,inland
1165,inland
1166,inland
1167,inland
1168,inland
1169,inland
1170,inland
1171,inland
1172,inland
1173,inland
1174,inland
1175,inland
1176,inland
1177,inland
1178,inland
1179,inland
1180,inland
1181,inland
1182,inland
1183,inland
1184,inland
1185,inland
1186,inland
1187,inland
1188,inland
1189,inland
1190,inland
1191,inland
1192,inland
1193,inland
1194,inland
1195,inland
1196,inland
1197,inland
1198,inland
1199,inland
1200,inland
1201,inland
1202,inland
1203,inland
1204,inland
1205,inland
1206,inland
1207,inland
1208,inland
1209,inland
1210,inland
1211,inland
1212,inland
1213,inland
1214,inland
1215,inland
1216,inland
1217,inland
1218,inland
1219,inland
1220,inland
1221,inland
1222,inland
1223,inland
1224,inland
1225,inland
1226,inland
1227,inland
1228,inland
1229,inland
1230,inland
1231,inland
1232,inland
1233,inland
1234,inland
1235,inland
1236,inland
1237,inland
1238,inland
1239,inland
1240,inland
1241,inland
1242,inland
1243,inland
1244,inland
1245,inland
1246,inland
1247,inland
1248,inland
1249,inland
1250,inland
1251,inland
1252,inland
1253,inland
1254,inland
1255,inland
1256,inland
1257,inland
1258,inland
1259,inland
1260,inland
1261,inland
1262,inland
1263,inland
1264,inland
1265,inland
1266,inland
1267,inland
1268,inland
1269,inland
1270,inland
1271,inland
1272,inland
1273,inland
1274,inland
1275,inland
1276,inland
1277,inland
1278,inland
1279,inland
1280,inland
1281,inland
1282,inland
1283,inland
1284,inland
1285,inland
1286,inland
1287,inland
1288,inland
1289,inland
1290,inland
1291,inland
1292,inland
1293,inland
1294,inland
1295,inland
1296,inland
1297,inland
1298,inland
1299,inland
1300,inland
1301,inland
1302,inland
1303,inland
1304,inland
1305,inland
1306,inland
1307,inland
1308,inland
1309,inland
1310,inland
1311,inland
1312,inland
1313,inland
1314,inland
1315,inland
1316,inland
1317,inland
1318,inland
1319,inland
1320,inland
1321,inland
1322,inland
1323,inland
1324,inland
1325,inland
1326,inland
1327,inland
1328,inland
1329,inland
1330,inland
1331,inland
1332,inland
1333,inland
1334,inland
1335,inland
1336,inland
1337,inland
1338,inland
1339,inland
1340,inland
1341,inland
1342,inland
1343,inland
1344,inland
1345,inland
1346,inland
1347,inland
1348,inland
1349,inland
1350,inland
1351,inland
1352,inland
1353,inland
1354,near_bay
1355,inland
1356,near_bay
1357,near_bay
1358,near_bay
1359,near_bay
1360,near_bay
1361,near_bay
1362,near_bay
1363,near_bay
1364,near_bay
1365,near_bay
1366,near_bay
1367,near_bay
1368,near_bay
1369,near_bay
1370,near_bay
1371,near_bay
1372,near_bay
1373,near_bay
1374,near_bay
1375,near_bay
1376,near_bay
1377,near_bay
1378,near_bay
1379,near_bay
1380,near_bay
1381,near_bay
1382,near_bay
1383,near_bay
1384,near_bay
1385,near_bay
1386,near_bay
1387,near_bay
1388,near_bay
1389,near_bay
1390,near_bay
1391,near_bay
1392,near_bay
1393,near_bay
1394,near_bay
1395,near_bay
1396,near_bay
1397,near_bay
1398,near_bay
1399,near_bay
1400,near_bay
1401,near_bay
1402,near_bay
1403,near_bay
1404,near_bay
1405,near_bay
1406,near_bay
1407,near_bay
1408,near_bay
1409,near_bay
1410,near_bay
1411,near_bay
1412,near_bay
1413,near_bay
1414,near_bay
1415,near_bay
1416,near_bay
1417,near_bay
1418,near_bay
1419,near_bay
1420,near_bay
1421,near_bay
1422,near_bay
1423,near_bay
1424,near_bay
1425,near_bay
1426,near_bay
1427,near_bay
1428,near_bay
1429,near_bay
1430,inland
1431,inland
1432,near_bay
1433,near_bay
1434,near_bay
1435,inland
1436,inland
1437,inland
1438,inland
1439,inland
1440,inland
1441,near_bay
1442,near_bay
1443,inland
1444,inland
1445,inland
1446,inland
1447,inland
1448,inland
1449,inland
1450,inland
1451,inland
1452,inland
1453,inland
1454,inland
1455,inland
1456,inland
1457,inland
1458,inland
1459,inland
1460,inland
1461,inland
1462,inland
1463,near_bay
1464,near_bay
1465,near_bay
1466,near_bay
1467,near_bay
1468,near_bay
1469,near_bay
1470,near_bay
1471,near_bay
1472,near_bay
1473,near_bay
1474,near_bay
1475,near_bay
1476,near_bay
1477,near_bay
1478,near_bay
1479,near_bay
1480,near_bay
1481,near_bay
1482,near_bay
1483,near_bay
1484,near_bay
1485,near_bay
1486,near_bay
1487,near_bay
1488,inland
1489,near_bay
1490,near_bay
1491,near_bay
1492,near_bay
1493,near_bay
1494,near_bay
1495,near_bay
1496,near_bay
1497,near_bay
1498,near_bay
1499,near_bay
1500,near_bay
1501,near_bay
1502,near_bay
1503,near_bay
1504,near_bay
1505,near_bay
1506,near_bay
1507,near_bay
1508,near_bay
1509,near_bay
1510,near_bay
1511,near_bay
1512,near_bay
1513,near_bay
1514,near_bay
1515,near_bay
1516,near_bay
1517,near_bay
1518,near_bay
1519,near_bay
1520,near_bay
1521,near_bay
1522,near_bay
1523,near_bay
1524,near_bay
1525,near_bay
1526,near_bay
1527,near_bay
1528,near_bay
1529,near_bay
1530,near_bay
1531,near_bay
1532,near_bay
1533,<1h_ocean
1534,<1h_ocean
1535,<1h_ocean
1536,<1h_ocean
1537,<1h_ocean
1538,<1h_ocean
1539,<1h_ocean
1540,<1h_ocean
1541,<1h_ocean
1542,<1h_ocean
1543,<1h_ocean
1544,<1h_ocean
1545,<1h_ocean
1546,<1h_ocean
1547,<1h_ocean
1548,<1h_ocean
1549,<1h_ocean
1550,<1h_ocean
1551,<1h_ocean
1552,<1h_ocean
1553,<1h_ocean
1554,<1h_ocean
1555,<1h_ocean
1556,<1h_ocean
1557,<1h_ocean
1558,<1h_ocean
1559,<1h_ocean
1560,<1h_ocean
1561,near_bay
1562,near_bay
1563,<1h_ocean
1564,<1h_ocean
1565,near_bay
1566,<1h_ocean
1567,<1h_ocean
1568,near_bay
1569,near_bay
1570,near_bay
1571,near_bay
1572,near_bay
1573,<1h_ocean
1574,inland
1575,inland
1576,<1h_ocean
1577,inland
1578,<1h_ocean
1579,<1h_ocean
1580,<1h_ocean
1581,near_bay
1582,near_bay
1583,near_bay
1584,near_bay
1585,near_bay
1586,near_bay
1587,near_bay
1588,near_bay
1589,near_bay
1590,near_bay
1591,near_bay
1592,near_bay
1593,near_bay
1594,near_bay
1595,near_bay
1596,near_bay
1597,near_bay
1598,near_bay
1599,near_bay
1600,near_bay
1601,near_bay
1602,near_bay
1603,near_bay
1604,near_bay
1605,near_bay
1606,near_bay
1607,near_bay
1608,near_bay
1609,near_bay
1610,near_bay
1611,near_bay
1612,near_bay
1613,near_bay
1614,near_bay
1615,near_bay
1616,near_bay
1617,near_bay
1618,near_bay
1619,near_bay
1620,near_bay
1621,near_bay
1622,near_bay
1623,near_bay
1624,near_bay
1625,near_bay
1626,near_bay
1627,near_bay
1628,near_bay
1629,near_bay
1630,inland
1631,inland
1632,inland
1633,inland
1634,inland
1635,inland
1636,inland
1637,inland
1638,inland
1639,inland
1640,inland
1641,inland
1642,inland
1643,near_bay
1644,near_bay
1645,inland
1646,inland
1647,inland
1648,inland
1649,inland
1650,inland
1651,inland
1652,inland
1653,inland
1654,inland
1655,near_bay
1656,near_bay
1657,near_bay
1658,near_bay
1659,near_bay
1660,near_bay
1661,near_bay
1662,near_bay
1663,near_bay
1664,near_bay
1665,near_bay
1666,near_bay
1667,near_bay
1668,near_bay
1669,near_bay
1670,near_bay
1671,near_bay
1672,near_bay
1673,near_bay
1674,near_bay
1675,near_bay
1676,near_bay
1677,near_bay
1678,near_bay
1679,near_bay
1680,near_bay
1681,near_bay
1682,near_bay
1683,near_bay
1684,near_bay
1685,near_bay
1686,near_bay
1687,near_bay
1688,near_bay
1689,near_bay
1690,near_bay
1691,near_bay
1692,near_bay
1693,near_bay
1694,near_bay
1695,near_bay
1696,near_bay
1697,near_bay
1698,near_bay
1699,near_bay
1700,near_bay
1701,near_bay
1702,near_bay
1703,near_bay
1704,near_bay
1705,near_bay
1706,near_bay
1707,near_bay
1708,near_bay
1709,near_bay
1710,near_bay
1711,near_bay
1712,near_bay
1713,near_bay
1714,near_bay
1715,near_bay
1716,near_bay
1717,near_bay
1718,near_bay
1719,near_bay
1720,near_bay
1721,near_bay
1722,near_bay
1723,near_bay
1724,near_bay
1725,near_bay
1726,near_bay
1727,near_bay
1728,near_bay
1729,near_bay
1730,near_bay
1731,near_bay
1732,near_bay
1733,near_bay
1734,near_bay
1735,near_bay
1736,near_bay
1737,near_bay
1738,near_bay
1739,near_bay
1740,near_bay
1741,near_bay
1742,near_bay
1743,near_bay
1744,near_bay
1745,near_bay
1746,near_bay
1747,near_bay
1748,near_bay
1749,near_bay
1750,near_bay
1751,near_bay
1752,near_bay
1753,near_bay
1754,near_bay
1755,near_bay
1756,near_bay
1757,near_bay
1758,near_bay
1759,near_bay
1760,near_bay
1761,near_bay
1762,near_bay
1763,near_bay
1764,near_bay
1765,near_bay
1766,near_bay
1767,near_bay
1768,near_bay
1769,near_bay
1770,near_bay
1771,near_bay
1772,near_bay
1773,near_bay
1774,near_bay
1775,near_bay
1776,near_bay
1777,near_bay
1778,near_bay
1779,near_bay
1780,near_bay
1781,near_bay
1782,near_bay
1783,near_bay
1784,near_bay
1785,near_bay
1786,near_bay
1787,near_bay
1788,near_bay
1789,near_bay
1790,near_bay
1791,near_bay
1792,near_bay
1793,near_bay
1794,near_bay
1795,near_bay
1796,near_bay
1797,near_bay
1798,near_bay
1799,near_bay
1800,near_bay
1801,near_bay
1802,near_bay
1803,near_bay
1804,near_bay
1805,near_bay
1806,near_bay
1807,near_bay
1808,near_bay
1809,near_bay
1810,near_bay
1811,near_bay
1812,near_bay
1813,near_bay
1814,near_bay
1815,near_bay
1816,near_bay
1817,near_bay
1818,near_bay
1819,near_bay
1820,near_bay
1821,near_bay
1822,near_bay
1823,near_bay
1824,near_bay
1825,near_bay
1826,near_bay
1827,near_bay
1828,near_bay
1829,near_bay
1830,near_bay
1831,near_bay
1832,near_bay
1833,near_bay
1834,near_bay
1835,near_bay
1836,near_bay
1837,near_bay
1838,near_bay
1839,near_bay
1840,near_ocean
1841,near_ocean
1842,near_ocean
1843,near_ocean
1844,near_ocean
1845,near_ocean
1846,near_ocean
1847,near_ocean
1848,near_ocean
1849,near_ocean
1850,near_ocean
1851,near_ocean
1852,near_ocean
1853,<1h_ocean
1854,<1h_ocean
1855,near_ocean
1856,inland
1857,inland
1858,inland
1859,inland
1860,inland
1861,inland
1862,inland
1863,inland
1864,inland
1865,inland
1866,inland
1867,inland
1868,inland
1869,inland
1870,inland
1871,inland
1872,inland
1873,inland
1874,inland
1875,inland
1876,inland
1877,inland
1878,inland
1879,inland
1880,inland
1881,inland
1882,inland
1883,inland
1884,inland
1885,inland
1886,inland
1887,inland
1888,inland
1889,inland
1890,inland
1891,inland
1892,inland
1893,inland
1894,inland
1895,inland
1896,inland
1897,inland
1898,inland
1899,inland
1900,inland
1901,inland
1902,inland
1903,inland
1904,inland
1905,inland
1906,inland
1907,inland
1908,inland
1909,inland
1910,inland
1911,inland
1912,inland
1913,inland
1914,inland
1915,inland
1916,inland
1917,inland
1918,inland
1919,inland
1920,inland
1921,inland
1922,inland
1923,inland
1924,inland
1925,inland
1926,inland
1927,inland
1928,inland
1929,inland
1930,inland
1931,inland
1932,inland
1933,inland
1934,inland
1935,inland
1936,inland
1937,inland
1938,inland
1939,inland
1940,inland
1941,inland
1942,inland
1943,inland
1944,inland
1945,inland
1946,inland
1947,inland
1948,inland
1949,inland
1950,inland
1951,inland
1952,inland
1953,inland
1954,inland
1955,inland
1956,inland
1957,inland
1958,inland
1959,inland
1960,inland
1961,inland
1962,inland
1963,inland
1964,inland
1965,inland
1966,inland
1967,inland
